Item,Quantity:,Price: (USD),Source:,Additional details
PCB,2x5,39.99,JLCPCB,23.6 subtotal + 12.14 shipping + 4.25 tax
Plate,2,35.67,SendCutSend,I Might be able to get it for cheaper locally, or in a diff material
Orpheus Pico,2,N/A,Hack Club,Can be replaced with other USCB pico clone
Kailh hot-swap socket,70,99c,Aliexpress,This is where the welcome deal seems to be placed right now
RJ45 Jacks,2,2.63,Aliexpress,
RJ45 cable,1,1.72,Aliexpress,
.91 in oled,2.22,Aliexpress,,
1n4148 diodes,100,1.97,Aliexpress,
0805 0.1uf capacitor,100,2.2,Aliexpress,
SK6812mini-Es,100,6.26,Aliexpress,
TTC silent red or silent frozen,60,32.7,TorontoKeyboardMan,<alt pick is otemu silent yellow jade (0.22) or silent kitty (0.45)
Keycaps,140,20.35,Aliexpress,
M2.5 x 25mm screw,50,2.28,Aliexpress,
M2.5x9mm spacer,35,2.78,Aliexpres,can also be 3d printed
Total,1,149.54,,
